subgroup,n,malig,with,without,delta,CI95,sig
margin = circumscribed,232,12%,0.7532,0.6945,0.0587,"[+0.003, +0.124]",yes
shape = round,108,31%,0.8663,0.8091,0.0572,"[+0.020, +0.097]",yes
shape = architectural_distortion,65,57%,0.6931,0.653,0.0401,"[-0.036, +0.116]",
subtlety = 2,84,56%,0.8614,0.8321,0.0293,"[-0.021, +0.084]",
subtlety = 3,210,35%,0.8974,0.8721,0.0253,"[+0.004, +0.050]",yes
margin = ill_defined,224,57%,0.842,0.817,0.025,"[-0.003, +0.052]",
shape = irregular,275,80%,0.8374,0.8246,0.0128,"[-0.023, +0.052]",
all lesions,1005,46%,0.909,0.8974,0.0116,"[+0.003, +0.021]",yes
shape = oval,234,26%,0.9281,0.9166,0.0115,"[-0.008, +0.034]",
subtlety = 4,277,38%,0.927,0.9177,0.0093,"[-0.007, +0.025]",
margin = microlobulated,74,58%,0.8882,0.8807,0.0075,"[-0.042, +0.060]",
subtlety = 5,396,54%,0.9137,0.9071,0.0066,"[-0.005, +0.019]",
shape = lobulated,221,31%,0.8563,0.8539,0.0025,"[-0.021, +0.027]",
margin = obscured,141,11%,0.9085,0.908,0.0005,"[-0.034, +0.036]",
shape = irregular-architectural_distortion,29,93%,0.5185,0.5185,0.0,"[-0.214, +0.185]",
margin = spiculated,225,87%,0.7518,0.7727,-0.0208,"[-0.059, +0.021]",
subtlety = 1,37,62%,0.6957,0.7562,-0.0606,"[-0.156, +0.027]",
