dataset,split,n,dice,median,iou,precision,recall
CBIS calc,test,326.0,0.8839606938160589,0.9052883618063242,0.7987115981718012,0.8876396092716705,0.8891761746450828
CBIS calc,train,1283.0,0.8903420627051124,0.9099334442595673,0.8085985736969686,0.8878447837238422,0.9014604925625493
CBIS calc,val,257.0,0.8593257262009167,0.9050706056556755,0.7709281553309557,0.8570758918606866,0.8800588228647787
CBIS mass,test,378.0,0.9242381666946111,0.93349846632901,0.8614384483620159,0.9369004774455072,0.9151148685518696
CBIS mass,train,1122.0,0.9393377939226344,0.9451853422363288,0.8868690749625222,0.9519373036991754,0.9290537669940017
CBIS mass,val,196.0,0.9234314207117289,0.9350037054247455,0.8604905060725931,0.9350389190483213,0.9159778485102663
ALL COMBINED,test,704.0,0.9055869505605089,0.9216268686303835,0.8323916398932517,0.9140893367854637,0.9031034847257154
ALL COMBINED,train,2405.0,0.9131999464581517,0.9291722296395194,0.8451139593185698,0.917745743146846,0.914333529532233
ALL COMBINED,val,453.0,0.8870624063866103,0.9173155273879584,0.809679194503938,0.8908082391648287,0.8955999465436211
ALL COMBINED,all,3562.0,0.908371239337335,0.9256109554083949,0.8380930549568484,0.9135972873966307,0.9097315461976936
