abn,crop_h,crop_w,src_h,src_w,roi_h,roi_w,downsample
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
calcification,256,256,,,,,
mass,256,256,,,,,
