level,floor,s1_acc,s1_sens,s1_spec,s1_fn,s2_acc,s2_sens,s2_spec,s2_fn
IMAGE,0.7,0.8174603174603174,0.7551020408163265,0.8571428571428571,36,0.8201058201058201,0.8299319727891157,0.8138528138528138,25
IMAGE,0.75,0.8174603174603174,0.7551020408163265,0.8571428571428571,36,0.8306878306878307,0.782312925170068,0.8614718614718615,32
IMAGE,0.8,0.8015873015873016,0.8231292517006803,0.7878787878787878,26,0.8174603174603174,0.8367346938775511,0.8051948051948052,24
IMAGE,0.85,0.7936507936507936,0.8231292517006803,0.7748917748917749,26,0.8174603174603174,0.8367346938775511,0.8051948051948052,24
IMAGE,0.88,0.7698412698412699,0.8571428571428571,0.7142857142857143,21,0.8201058201058201,0.8707482993197279,0.7878787878787878,19
IMAGE,0.9,0.7566137566137566,0.8843537414965986,0.6753246753246753,17,0.8095238095238095,0.8775510204081632,0.7662337662337663,18
IMAGE,0.92,0.7328042328042328,0.9047619047619048,0.6233766233766234,14,0.783068783068783,0.9047619047619048,0.7056277056277056,14
IMAGE,0.95,0.6534391534391535,0.9591836734693877,0.4588744588744589,6,0.7354497354497355,0.9523809523809523,0.5974025974025974,7
LESION,0.7,0.852017937219731,0.8160919540229885,0.875,16,0.8654708520179372,0.8160919540229885,0.8970588235294118,16
LESION,0.75,0.852017937219731,0.8160919540229885,0.875,16,0.8609865470852018,0.8275862068965517,0.8823529411764706,15
LESION,0.8,0.852017937219731,0.8160919540229885,0.875,16,0.8609865470852018,0.8275862068965517,0.8823529411764706,15
LESION,0.85,0.820627802690583,0.8390804597701149,0.8088235294117647,14,0.8609865470852018,0.8275862068965517,0.8823529411764706,15
LESION,0.88,0.8295964125560538,0.8735632183908046,0.8014705882352942,11,0.8475336322869955,0.8850574712643678,0.8235294117647058,10
LESION,0.9,0.7982062780269058,0.8735632183908046,0.75,11,0.8340807174887892,0.8850574712643678,0.8014705882352942,10
LESION,0.92,0.7802690582959642,0.896551724137931,0.7058823529411765,9,0.820627802690583,0.896551724137931,0.7720588235294118,9
LESION,0.95,0.6995515695067265,0.9540229885057471,0.5367647058823529,4,0.7802690582959642,0.9540229885057471,0.6691176470588235,4
