unit,n,floor,system,auc,acc,sens,spec,fn
IMAGE,378,0.7,S1,0.8769031422092647,0.8174603174603174,0.7551020408163265,0.8571428571428571,36
IMAGE,378,0.7,S2,0.8769031422092647,0.8201058201058201,0.8299319727891157,0.8138528138528138,25
IMAGE,378,0.7,S3,0.9061460081868244,0.8412698412698413,0.7959183673469388,0.8701298701298701,30
IMAGE,378,0.7,S4,0.9061460081868244,0.8253968253968254,0.7551020408163265,0.8701298701298701,36
IMAGE,378,0.75,S1,0.8769031422092647,0.8174603174603174,0.7551020408163265,0.8571428571428571,36
IMAGE,378,0.75,S2,0.8769031422092647,0.8306878306878307,0.782312925170068,0.8614718614718615,32
IMAGE,378,0.75,S3,0.9061460081868244,0.8412698412698413,0.7959183673469388,0.8701298701298701,30
IMAGE,378,0.75,S4,0.9061460081868244,0.8253968253968254,0.7551020408163265,0.8701298701298701,36
IMAGE,378,0.8,S1,0.8769031422092647,0.8015873015873016,0.8231292517006803,0.7878787878787878,26
IMAGE,378,0.8,S2,0.8769031422092647,0.8174603174603174,0.8367346938775511,0.8051948051948052,24
IMAGE,378,0.8,S3,0.9061460081868244,0.8412698412698413,0.7959183673469388,0.8701298701298701,30
IMAGE,378,0.8,S4,0.9061460081868244,0.8253968253968254,0.7551020408163265,0.8701298701298701,36
IMAGE,378,0.85,S1,0.8769031422092647,0.7936507936507936,0.8231292517006803,0.7748917748917749,26
IMAGE,378,0.85,S2,0.8769031422092647,0.8174603174603174,0.8367346938775511,0.8051948051948052,24
IMAGE,378,0.85,S3,0.9061460081868244,0.8121693121693122,0.8707482993197279,0.7748917748917749,19
IMAGE,378,0.85,S4,0.9061460081868244,0.8253968253968254,0.8163265306122449,0.8311688311688312,27
IMAGE,378,0.88,S1,0.8769031422092647,0.7698412698412699,0.8571428571428571,0.7142857142857143,21
IMAGE,378,0.88,S2,0.8769031422092647,0.8201058201058201,0.8707482993197279,0.7878787878787878,19
IMAGE,378,0.88,S3,0.9061460081868244,0.8015873015873016,0.8775510204081632,0.7532467532467533,18
IMAGE,378,0.88,S4,0.9061460081868244,0.8121693121693122,0.8707482993197279,0.7748917748917749,19
IMAGE,378,0.9,S1,0.8769031422092647,0.7566137566137566,0.8843537414965986,0.6753246753246753,17
IMAGE,378,0.9,S2,0.8769031422092647,0.8095238095238095,0.8775510204081632,0.7662337662337663,18
IMAGE,378,0.9,S3,0.9061460081868244,0.791005291005291,0.8843537414965986,0.7316017316017316,17
IMAGE,378,0.9,S4,0.9061460081868244,0.8015873015873016,0.8843537414965986,0.7489177489177489,17
IMAGE,378,0.92,S1,0.8769031422092647,0.7328042328042328,0.9047619047619048,0.6233766233766234,14
IMAGE,378,0.92,S2,0.8769031422092647,0.783068783068783,0.9047619047619048,0.7056277056277056,14
IMAGE,378,0.92,S3,0.9061460081868244,0.7777777777777778,0.9047619047619048,0.696969696969697,14
IMAGE,378,0.92,S4,0.9061460081868244,0.7777777777777778,0.9047619047619048,0.696969696969697,14
IMAGE,378,0.95,S1,0.8769031422092647,0.6534391534391535,0.9591836734693877,0.4588744588744589,6
IMAGE,378,0.95,S2,0.8769031422092647,0.7354497354497355,0.9523809523809523,0.5974025974025974,7
IMAGE,378,0.95,S3,0.9061460081868244,0.7328042328042328,0.9523809523809523,0.5930735930735931,7
IMAGE,378,0.95,S4,0.9061460081868244,0.7407407407407407,0.9387755102040817,0.6147186147186147,9
LESION,223,0.7,S1,0.9043272481406356,0.852017937219731,0.8160919540229885,0.875,16
LESION,223,0.7,S2,0.9043272481406356,0.852017937219731,0.7816091954022989,0.8970588235294118,19
LESION,223,0.7,S3,0.9320486815415822,0.852017937219731,0.8735632183908046,0.8382352941176471,11
LESION,223,0.7,S4,0.9320486815415822,0.8654708520179372,0.8275862068965517,0.8897058823529411,15
LESION,223,0.75,S1,0.9043272481406356,0.852017937219731,0.8160919540229885,0.875,16
LESION,223,0.75,S2,0.9043272481406356,0.852017937219731,0.7816091954022989,0.8970588235294118,19
LESION,223,0.75,S3,0.9320486815415822,0.852017937219731,0.8735632183908046,0.8382352941176471,11
LESION,223,0.75,S4,0.9320486815415822,0.8654708520179372,0.8275862068965517,0.8897058823529411,15
LESION,223,0.8,S1,0.9043272481406356,0.852017937219731,0.8160919540229885,0.875,16
