variant,fold,dice,params_M
plain,0,0.8899086986213096,7.77
plain,1,0.893300755518611,7.77
plain,2,0.8860835950845187,7.77
plain,3,0.8963714969166915,7.77
plain,4,0.8991324283128533,7.77
attn,0,0.8896555324893695,7.85
attn,1,0.8957914220746103,7.85
attn,2,0.8867962835738658,7.85
attn,3,0.8977756082102966,7.85
attn,4,0.9008826790417451,7.85
attn_aspp,0,0.8997407228749477,9.43
attn_aspp,1,0.9046412731254916,9.43
attn_aspp,2,0.9092732540740076,9.43
attn_aspp,3,0.9071122499992327,9.43
attn_aspp,4,0.9072677502113443,9.43
full,0,0.9017702387878852,
full,1,0.9058629135097127,
full,2,0.9047691194721006,
full,3,0.9106852111631696,
full,4,0.907866535467371,
