abn,full_h,full_w,mask_h,mask_w,roi_h,roi_w
calcification,4552,2760,345,236,345,236
mass,5491,2911,399,465,399,465
mass,4632,2832,248,260,248,260
calcification,5971,3256,311,287,311,287
mass,6541,4891,281,285,281,285
calcification,5191,3256,1633,1893,1633,1893
calcification,5386,3676,405,413,405,413
calcification,5071,2626,241,601,241,601
calcification,4651,1996,176,206,176,206
mass,4536,3056,180,257,180,257
calcification,5688,3920,441,377,441,377
mass,6871,3316,363,386,363,386
calcification,6091,3616,153,177,153,177
calcification,5528,4112,161,177,161,177
calcification,5672,4064,217,201,217,201
calcification,4624,2784,481,301,481,301
calcification,5491,2986,449,465,449,465
mass,6391,3376,294,270,294,270
mass,4696,2640,4696,2640,514,625
calcification,5488,3952,225,201,225,201
calcification,4560,3008,441,921,441,921
mass,4776,2768,365,362,365,362
calcification,4752,2808,305,249,305,249
mass,6631,5386,320,240,320,240
mass,4608,2912,4608,2912,239,227
mass,5176,2251,484,432,484,432
mass,5311,2551,5311,2551,353,318
calcification,4592,3016,193,193,193,193
calcification,5491,3016,217,169,217,169
mass,5296,3384,392,340,392,340
calcification,5584,4128,257,185,257,185
mass,4640,3240,337,409,337,409
mass,6871,3451,391,471,391,471
mass,5904,3752,292,287,292,287
calcification,5236,2926,425,497,425,497
mass,5491,2761,5491,2761,211,216
mass,4760,2576,558,470,558,470
mass,4744,2528,680,492,680,492
mass,6032,4256,301,272,301,272
mass,4744,2528,4744,2528,490,443
calcification,5281,2701,457,433,457,433
mass,5696,3808,270,322,270,322
calcification,4728,2832,265,257,265,257
mass,5816,4088,329,373,329,373
mass,5146,2746,4478,2390,293,312
calcification,4488,3056,89,97,89,97
calcification,6496,4081,141,216,141,216
calcification,4528,3032,129,121,129,116
calcification,4624,2912,329,1081,329,1081
mass,4520,3024,282,299,282,299
calcification,5986,3076,1773,1885,1773,1885
calcification,5232,3888,137,153,137,153
mass,4640,3280,201,221,201,221
mass,5341,3526,5341,3526,394,393
calcification,4416,2992,729,612,729,612
mass,5311,2521,5311,2521,239,290
calcification,5896,3312,273,265,273,265
mass,4800,3136,296,348,296,348
calcification,4592,3128,144,129,141,129
mass,5236,2521,277,281,277,281
mass,4696,3096,4696,3096,236,255
calcification,5544,3736,305,297,305,297
mass,4440,2952,441,381,441,381
mass,4712,2960,624,543,624,543
calcification,6646,3826,152,191,152,191
calcification,6316,3256,537,513,537,513
calcification,4126,1546,265,169,265,169
mass,6346,2911,6346,2911,396,402
calcification,5491,3001,201,353,201,353
mass,4704,2840,228,203,228,203
calcification,5872,3640,753,1305,753,1305
mass,4664,2616,460,378,460,378
calcification,5491,2941,233,217,233,217
mass,4996,2341,4996,2341,345,340
calcification,4528,2992,249,241,249,241
mass,4736,2696,4736,2696,255,234
mass,6151,3496,264,278,263,278
mass,4680,2496,4680,2496,322,288
mass,4608,2720,4608,2720,265,245
mass,5386,3226,4686,2807,366,344
calcification,4736,2656,521,377,521,377
calcification,5664,3736,865,865,865,865
mass,5146,2221,5146,2221,601,701
calcification,5491,2506,191,162,191,162
mass,5800,4096,849,637,849,637
calcification,4711,2296,953,817,953,817
mass,5776,4064,357,387,357,387
mass,5491,2686,408,439,408,439
calcification,4800,2720,905,924,905,924
calcification,4536,2952,273,225,273,225
mass,4696,2671,257,250,257,250
calcification,4352,3008,121,153,121,153
calcification,4552,3016,113,105,113,105
mass,4680,2792,4680,2792,256,358
mass,5904,3600,424,472,424,472
calcification,6871,3631,153,185,153,185
calcification,5491,3016,409,473,409,473
calcification,5824,4104,521,945,521,941
mass,6646,3811,336,369,336,369
mass,6916,3496,449,434,449,434
calcification,4544,2904,313,313,313,313
mass,4666,2611,4666,2611,365,449
