n_in,n_out,enrich,speck_frac_in_roi,img,label
0,3,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/4ccf2ab58e32934cc24aeef6722c722a_img.png,0
4,2,4.902704268372963,0.00019748795323485267,/root/autodl-tmp/CBIS/crops_fixed_calc/75103855d21237eb75c9c2a2662b10ec_img.png,0
11,10,10.178097622027536,0.0014471214017521903,/root/autodl-tmp/CBIS/crops_fixed_calc/220fa157febe5b79bcac19a387653a8a_img.png,0
5,2,20.537930185959855,0.0006327556508594931,/root/autodl-tmp/CBIS/crops_fixed_calc/11f4e60640bde3304bcf8d3158c5499d_img.png,0
23,26,5.850300257363454,0.003920771375464684,/root/autodl-tmp/CBIS/crops_fixed_calc/a4e5948a039df3b79ceeed465c587fa3_img.png,0
7,19,2.357961298911235,0.0008751129177958446,/root/autodl-tmp/CBIS/crops_fixed_calc/5e71c0aab88c6987741bda281a89d057_img.png,0
10,24,1.348983759550828,0.0022146067052471632,/root/autodl-tmp/CBIS/crops_fixed_calc/83e487626f95282ff649ca4b6ce6764a_img.png,0
2,0,,0.00013740667796454908,/root/autodl-tmp/CBIS/crops_fixed_calc/90c027a17aa7befc2c84856422057300_img.png,0
2,4,1.2694021086167095,0.00014849413448168798,/root/autodl-tmp/CBIS/crops_fixed_calc/1cebe4ef9f87e008c31af7ff959b4814_img.png,0
2,7,1.1122938470768615,0.00011199253383107793,/root/autodl-tmp/CBIS/crops_fixed_calc/0e44c693fd3ffade5c381f1001b4a34f_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/e10607a16bfb607305b91e7a31104cbe_img.png,0
6,0,,0.0015463917525773195,/root/autodl-tmp/CBIS/crops_fixed_calc/9469d8083cce3fc0026c72e98ed08ffe_img.png,0
13,4,7.68037398165373,0.004310731926358329,/root/autodl-tmp/CBIS/crops_fixed_calc/cef95fa530d989220f01fcc5456f2997_img.png,0
1,0,,0.0005058680696074464,/root/autodl-tmp/CBIS/crops_fixed_calc/99bbdde6fef466fc9360be54acf90296_img.png,0
2,18,0.3669389325644967,0.0005580265554990235,/root/autodl-tmp/CBIS/crops_fixed_calc/7581710de2d0d6526aff5930720a979b_img.png,0
3,2,4.040672688075075,0.0009722554918344629,/root/autodl-tmp/CBIS/crops_fixed_calc/2123a8c324a70aee28790f3102f313fa_img.png,0
3,1,8.66207459034626,0.0016163713205308817,/root/autodl-tmp/CBIS/crops_fixed_calc/86778a769688ae611fd9b612c5b538a2_img.png,1
3,1,11.242570222938587,0.000869297498958654,/root/autodl-tmp/CBIS/crops_fixed_calc/bca7f4f103ecbca89d364974729fbef2_img.png,1
2,2,4.210574438481415,0.0001590141125024846,/root/autodl-tmp/CBIS/crops_fixed_calc/11b28f870cc8946ed672b5f8b2210d46_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/91830a535abd15ef292ffd5b42f5f6f5_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/85074553e235915c099bc7bb4b782f48_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/5881892d10145636d694af387185eaa7_img.png,0
19,45,0.9918416596044896,0.0015714230960867733,/root/autodl-tmp/CBIS/crops_fixed_calc/52e672a0ab22fcb509ec25a77309cf1e_img.png,0
0,11,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/ce32d7c8aace65d8ae3cf8cb3037098c_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/6b41891d4946df75c44550c6be45e643_img.png,0
1,0,,0.0003421408687267694,/root/autodl-tmp/CBIS/crops_fixed_calc/573783662a6260ddbb375e3f385e2ee5_img.png,0
9,24,1.2339297697179987,0.0007037758392117711,/root/autodl-tmp/CBIS/crops_fixed_calc/71d8ef3307019bc6b7b67de7792bfd46_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/1a3675d499101fc2c1f975244a578813_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/6289434af64a231c676c64f2909da483_img.png,0
8,3,5.784139264990329,0.0027321083172147003,/root/autodl-tmp/CBIS/crops_fixed_calc/4f579c7d75b1b78e2848db890b2d8ab4_img.png,1
1,1,2.5025386136497247,4.008337341670675e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/9733f2feb918e4149a2ac65cf496caa7_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/40223aa70fd40c59a7d3e03c778a09d2_img.png,0
21,14,4.179357559651049,0.010485874400600843,/root/autodl-tmp/CBIS/crops_fixed_calc/596a2d69087e8d5221fc0afcb7aaff53_img.png,1
3,3,2.807631414585966,0.00027597426176884977,/root/autodl-tmp/CBIS/crops_fixed_calc/e3fc4d0a608f5cb56759a70f512b7add_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/146a158652bfdb2f0beeb40058180c2c_img.png,0
29,80,1.177674070892559,0.0024797808716510803,/root/autodl-tmp/CBIS/crops_fixed_calc/d94e5bb5a648130ceb35e232c4c1692a_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/2ab3bfa27fd070f08b3bdca283542416_img.png,0
6,57,0.5790295950664013,0.0018598884066955983,/root/autodl-tmp/CBIS/crops_fixed_calc/0671097a7dda9531640bb70df28258fd_img.png,1
74,462,0.8826290973813635,0.022078728424189745,/root/autodl-tmp/CBIS/crops_fixed_calc/47f3cfd72c10d73e2be1c1e352d89447_img.png,1
12,4,8.23634804972139,0.0035719388484069152,/root/autodl-tmp/CBIS/crops_fixed_calc/4238604181ea293f723f9e14c6612e58_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/f9e2cb71af3cf8c65b9802aa61a1f3b6_img.png,0
9,25,1.18583760585759,0.002784648397189143,/root/autodl-tmp/CBIS/crops_fixed_calc/db8ecaaa945b59eb0bcebaaf136b75ed_img.png,0
5,11,1.5043610299084753,0.0005753929111593345,/root/autodl-tmp/CBIS/crops_fixed_calc/16d4976097b8d22e1eb9daaa2730f126_img.png,0
1,1,2.971457572681685,3.029981668610905e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/84091342c952352a7bc97df1b3fab5c2_img.png,0
20,37,1.324637744060945,0.002843190164668097,/root/autodl-tmp/CBIS/crops_fixed_calc/fffc3d21c1226c116cec898b3471b168_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/9fff057d21492cb81732a3e9d62d934b_img.png,1
4,1,18.254255273992953,0.0019100980516999872,/root/autodl-tmp/CBIS/crops_fixed_calc/6f30703cde5ef65fe948f6cad3590ee0_img.png,0
1,6,0.49117669201234665,0.0003613641496649853,/root/autodl-tmp/CBIS/crops_fixed_calc/6c997ed5f8c54d3fef9a0867f3d0f5d8_img.png,0
1,1,2.3874423352759506,2.5844134027679067e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/63530fc85325e96af25b9f3f346bffa6_img.png,0
