kind,label,n_spots_outside,frac_outside,n_blobs_in_mask
calcification,0,90,1.48916015625,1
calcification,0,75,1.61865234375,1
calcification,0,124,2.6794921875,1
calcification,0,110,2.4404296875,1
calcification,0,301,9.490283203125,1
calcification,0,254,8.58134765625,1
calcification,0,19,0.338671875,1
calcification,0,60,1.143017578125,1
calcification,0,13,0.231591796875,1
calcification,0,11,0.27890625,1
calcification,0,97,1.765576171875,1
calcification,0,80,1.7232421875,1
calcification,0,58,1.1654296875,1
calcification,0,22,0.366064453125,1
calcification,0,14,0.241552734375,1
calcification,0,47,0.789404296875,1
calcification,1,83,1.880126953125,1
calcification,1,90,2.888671875,1
calcification,0,212,5.979052734375,1
calcification,0,71,1.4044921875,1
calcification,0,60,1.143017578125,1
calcification,0,60,1.018505859375,1
calcification,0,25,0.51298828125,1
calcification,0,6,0.08466796875,1
calcification,0,33,0.74208984375,1
calcification,0,75,1.3845703125,1
calcification,0,17,0.458203125,1
calcification,0,48,1.013525390625,1
calcification,0,76,2.0220703125,1
calcification,1,5,0.112060546875,1
calcification,0,54,0.74208984375,1
calcification,0,26,0.36357421875,1
calcification,1,24,0.356103515625,1
calcification,0,120,3.25224609375,1
calcification,0,108,3.493798828125,1
calcification,0,32,0.659912109375,1
calcification,0,58,1.29990234375,1
calcification,1,269,10.053076171875,1
calcification,1,181,11.3255859375,1
calcification,0,18,0.331201171875,1
calcification,0,96,1.54892578125,1
calcification,0,32,0.610107421875,1
calcification,0,17,0.366064453125,1
calcification,0,52,0.72216796875,1
calcification,0,20,0.27890625,1
calcification,1,49,0.859130859375,1
calcification,0,8,0.4880859375,1
calcification,0,80,1.36962890625,1
calcification,0,85,1.710791015625,1
calcification,1,55,2.6595703125,1
calcification,1,123,4.960546875,1
calcification,1,150,6.955224609375,1
calcification,0,34,0.5677734375,1
calcification,0,129,3.46142578125,1
calcification,0,101,2.427978515625,1
calcification,0,50,0.928857421875,1
calcification,0,64,1.123095703125,1
calcification,0,49,1.083251953125,1
calcification,0,17,1.576318359375,1
calcification,0,108,2.7193359375,1
calcification,0,97,1.66845703125,1
calcification,0,90,1.357177734375,1
calcification,1,12,0.171826171875,1
calcification,1,99,2.1216796875,1
calcification,0,178,7.024951171875,1
calcification,0,147,8.598779296875,1
calcification,1,102,3.9146484375,1
calcification,1,188,8.1580078125,1
calcification,1,95,4.016748046875,1
calcification,1,150,7.4109375,1
calcification,1,45,0.784423828125,1
calcification,0,34,0.55283203125,1
calcification,0,25,0.4283203125,1
calcification,1,234,8.105712890625,1
calcification,1,249,9.81650390625,1
calcification,0,89,5.964111328125,1
calcification,0,239,6.915380859375,1
calcification,1,16,0.321240234375,1
calcification,1,155,12.712646484375,1
calcification,1,66,1.27001953125,1
calcification,1,55,1.541455078125,1
calcification,1,92,3.404150390625,1
calcification,1,68,1.660986328125,1
calcification,1,86,4.004296875,1
calcification,0,0,0.0,1
calcification,0,10,0.16435546875,1
calcification,0,0,0.0,1
calcification,0,12,0.2689453125,1
calcification,1,172,7.68486328125,1
calcification,1,210,11.352978515625,1
calcification,1,215,7.82431640625,1
calcification,0,9,0.789404296875,1
calcification,0,1,0.0099609375,1
calcification,0,27,0.69228515625,1
calcification,0,1,0.0697265625,1
calcification,0,0,0.0,1
calcification,0,2,0.02490234375,1
